淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
17402295991,海青蓝旗舰店,2012,海青蓝2012秋冬新款刺绣镶钻复古气质针织长袖大码显瘦连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T170nUXk0bXXaCEO33_050444.jpg,秋款上新,0.0,0.0,0,0,0,1,0,2012-10-17
17402295991,海青蓝旗舰店,2012,海青蓝2012秋冬新款刺绣镶钻复古气质针织长袖大码显瘦连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T170nUXk0bXXaCEO33_050444.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
15441497016,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,-1,0,5,0,2012-10-19
15441497016,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 挂脖蕾丝长袖进口丝绒大牌大码连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1WebUXh8aXXbQSDzb_095337.jpg,秋款上新,0.0,0.0,0,1,2,-4,0,2012-10-18
15441497016,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 挂脖蕾丝长袖进口丝绒大牌大码连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1WebUXh8aXXbQSDzb_095337.jpg,秋款上新,0.0,0.0,2,2,-5,5,0,2012-10-17
15441497016,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 挂脖蕾丝长袖进口丝绒大牌大码连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1WebUXh8aXXbQSDzb_095337.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
15675090977,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,-1,0,2012-10-19
15675090977,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 针织欧美印花钉珠修身大码弹力连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JqDIXkxtXXaHWMLa_120935.jpg,秋款上新,0.0,0.0,1,-4,-1,0,0,2012-10-18
15675090977,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 针织欧美印花钉珠修身大码弹力连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JqDIXkxtXXaHWMLa_120935.jpg,秋款上新,0.0,0.0,0,0,0,3,0,2012-10-17
15675090977,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 针织欧美印花钉珠修身大码弹力连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JqDIXkxtXXaHWMLa_120935.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
19813724879,海青蓝旗舰店,,,,秋季新品,0.0,0.0,-1,-1,0,-3,0,2012-10-19
19813724879,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 大牌烧花真丝 丝绒长袖大码修身连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1..fOXnVpXXb2tr3V_020006.jpg,秋季新品,0.0,0.0,0,0,0,1,0,2012-10-18
19813724879,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 大牌烧花真丝 丝绒长袖大码修身连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1..fOXnVpXXb2tr3V_020006.jpg,秋季新品,0.0,0.0,2,2,-2,1,0,2012-10-17
19813724879,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 大牌烧花真丝 丝绒长袖大码修身连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1..fOXnVpXXb2tr3V_020006.jpg,秋季新品,0.0,0.0,0,0,0,0,0,2012-10-16
18775956655,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,-1,0,11,0,2012-10-19
18775956655,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款羊毛大摆扎花修身气质大牌显瘦连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1FW2UXclcXXa8hGnb_093048.jpg,秋款上新,0.0,0.0,0,0,0,-1,0,2012-10-18
